prompt,completion
Generate a Physics multiple choice question:,Physics – Multiple Choice Which of the following is a direct corollary of the second law of thermodynamics? W) Energy cannot be created or destroyed X) Real thermodynamic processes are not reversible Y) Absolute zero cannot be reached Z) Absolute zero is the minimum possible temperature
Generate a Physics short answer question:,"Physics – Short Answer Astronaut A is in a circular orbit with an altitude of one Earth radius above the surface of Earth, while Astronaut B is in orbit with an altitude of two Earth radii above the surface of Earth. What is the ratio of the gravitational force from Earth on Astronaut A to that on Astronaut B?"
Generate a Biology short answer question:,"Biology – Short Answer In population genetics, what term is used to quantify the ability of an individual to propagate its genes to future generations?"
Generate a Biology multiple choice question:,"Biology – Multiple Choice In humans, which of the following blood types would be expected to occur with the highest frequency among the offspring of parents who are both type AB? W) A X) B Y) O Z) AB"
Generate a Chemistry short answer question:,Chemistry – Short Answer What is the term for the minimum energy required for a chemical reaction to proceed?
Generate a Chemistry short answer question:,Chemistry – Short Answer Identify all of the following three compounds that interact mainly via dipole-dipole forces: 1) Hydrogen sulfide; 2) Fluoro-methane; 3) Carbon tetra-bromide.
Generate a Energy multiple choice question:,Energy – Multiple Choice Ames Lab researchers are studying quantum phase transitions in materials where the magnetic moments of each molecule point in the opposite direction as each of their neighbors’. Which of the following terms describes this type of magnetism? W) Para-magnetism X) Dia-magnetism Y) Anti-ferro-magnetism Z) Ferro-magnetism
Generate a Energy short answer question:,Energy – Short Answer Oak Ridge National Lab researchers are constructing circuit elements by assembling artificial lipid bilayers in hexadecane. How many hydrogen atoms are in one molecule of hexadecane [hexa-DEH-cane]?
Generate a Math short answer question:,"Math – Short Answer If angle ABC is inscribed in a circle and measures 35 degrees, what is the degree measure of arc ABC?"
Generate a Math short answer question:,Math – Short Answer Solve the following equation for x over the negative integers: x3 + 7x2 – 9x – 63 = 0
Generate a Physics short answer question:,"Physics – Short Answer Consider 1 mole of an ideal gas at STP. If the temperature of this gas were reduced to 0 kelvins, then, in liters, what would its volume become?"
Generate a Physics short answer question:,Physics – Short Answer Identify all of the following three properties that are the same for a positron and an electron: 1) Their movement in a uniform electric field; 2) Their movement in a uniform gravitational field; 3) Their behavior upon collision with an electron.
Generate a Biology short answer question:,"Biology – Short Answer What type of reproductive isolation is demonstrated by the mule, which is a cross between a horse and a donkey?"
Generate a Biology multiple choice question:,Biology – Multiple Choice Which of the following statements is TRUE regarding water balance in the mammalian body? W) Dehydration increases the osmolality of blood X) Vasopressin is produced by the adrenal gland Y) Renin inhibits the conversion of angiotensinogen [an-jee-oh-ten- SIN-oh-jen] to angiotensin [an-jee-oh-TEN-sin] two Z) Aldosterone [al-DOSS-ter-own] inhibits sodium absorption in the distal tubules
Generate a Chemistry short answer question:,Chemistry – Short Answer The ionization energy of neon is equivalent to the energy required to move an electron from what subshell to the n equals infinity energy level?
Generate a Chemistry multiple choice question:,Chemistry – Multiple Choice The dispersity of a polymer would be measured using which of the following techniques? W) Gel permeation chromatography X) Nuclear magnetic resonance Y) Transmission electron microscopy Z) X-ray diffraction
Generate a Energy short answer question:,Energy – Short Answer Oak Ridge National Lab scientists are studying how to bioengineer bacteria with complex immune systems. These systems destroy foreign DNA based on a modification that is also used in genomic imprinting and Barr body formation in mammals. What is this type of DNA modification called?
Generate a Energy short answer question:,Energy – Short Answer Researchers at SLAC National Lab are studying how gluons scatter off one another. What is the term for a particle composed entirely of gluons?
Generate a Math short answer question:,Math – Short Answer What is 6 factorial divided by 4 factorial?
Generate a Math short answer question:,Math – Short Answer Express the fraction with numerator 23 + 11i and denominator 1 + 5i in standard a + bi form.
Generate a Physics multiple choice question:,"Physics – Multiple Choice An 8-kilogram and a 20-kilogram mass are on opposite sides of a 7-meter-long lever. In meters, how far should the fulcrum be placed from the 8-kilogram mass so that the two masses are balanced? W) 3.5 X) 4 Y) 4.5 Z) 5"
Generate a Physics multiple choice question:,Physics – Multiple Choice Which of the following expressions does not have units of energy? W) Position times momentum X) Velocity squared times mass Y) Angular momentum divided by time Z) Momentum squared divided by mass
