type,subject,format,question,answer
toss-up,physics,Multiple Choice,1) Physics – Multiple Choice Which of the following is a direct corollary of the second law of thermodynamics? W) Energy cannot be created or destroyed X) Real thermodynamic processes are not reversible Y) Absolute zero cannot be reached Z) Absolute zero is the minimum possible temperature,"X) REAL THERMODYNAMIC PROCESSES ARE NOT
REVERSIBLE"
bonus,physics,Short Answer,"1) Physics – Short Answer Astronaut A is in a circular orbit with an altitude of one Earth radius above the surface of Earth, while Astronaut B is in orbit with an altitude of two Earth radii above the surface of Earth. What is the ratio of the gravitational force from Earth on Astronaut A to that on Astronaut B?","9/4 (ACCEPT: 9 TO 4, 2.25, 2 1/4)"
toss-up,biology,Short Answer,"2) Biology – Short Answer In population genetics, what term is used to quantify the ability of an individual to propagate its genes to future generations?",FITNESS
bonus,biology,Multiple Choice,"2) Biology – Multiple Choice In humans, which of the following blood types would be expected to occur with the highest frequency among the offspring of parents who are both type AB? W) A X) B Y) O Z) AB",Z) AB
toss-up,chemistry,Short Answer,3) Chemistry – Short Answer What is the term for the minimum energy required for a chemical reaction to proceed?,ACTIVATION ENERGY
bonus,chemistry,Short Answer,3) Chemistry – Short Answer Identify all of the following three compounds that interact mainly via dipole-dipole forces: 1) Hydrogen sulfide; 2) Fluoro-methane; 3) Carbon tetra-bromide.,"1, 2"
toss-up,energy,Multiple Choice,5) Energy – Multiple Choice Ames Lab researchers are studying quantum phase transitions in materials where the magnetic moments of each molecule point in the opposite direction as each of their neighbors’. Which of the following terms describes this type of magnetism? W) Para-magnetism X) Dia-magnetism Y) Anti-ferro-magnetism Z) Ferro-magnetism,Y) ANTI-FERRO-MAGNETISM
bonus,energy,Short Answer,5) Energy – Short Answer Oak Ridge National Lab researchers are constructing circuit elements by assembling artificial lipid bilayers in hexadecane. How many hydrogen atoms are in one molecule of hexadecane [hexa-DEH-cane]?,34
toss-up,math,Short Answer,"6) Math – Short Answer If angle ABC is inscribed in a circle and measures 35 degrees, what is the degree measure of arc ABC?",290
bonus,math,Short Answer,6) Math – Short Answer Solve the following equation for x over the negative integers: x3 + 7x2 – 9x – 63 = 0,–3 AND –7 (must give both answers)
