type,subject,format,question,answer
toss-up,math,Short Answer,1) Math – Short Answer What is the square of the binomial x – 11?,x2 - 22x + 121
bonus,math,Short Answer,1) Math – Short Answer What is the square root of the expression 12 minus 3 plus 4 times 10?,"7
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Multiple Choice,5) Energy – Multiple Choice Utilities distribute electrical power at high voltage from generating plants to industrial and residential customers through a network of wires. Which of the following is the term for these wires? W) Transmission lines X) Step-up lines Y) Grid transformers Z) Power cables,W) TRANSMISSION LINES
bonus,energy,Short Answer,5) Energy – Short Answer Order the following three states from least to greatest in terms of coal production: 1) Pennsylvania; 2) California; 3) West Virginia.,"2, 1, 3
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,"8) Math – Short Answer For the following 4 percentages, identify the two that have the same value: 1) 25% of 60; 2) 50% of 20; 3) 60% of 25; 4) 75% of 15.",1 and 3
bonus,math,Short Answer,"8) Math – Short Answer For the function f(x) = x2 – 1, evaluate f of open parenthesis 2a close parenthesis minus 2 f of a when a = 9.",163
toss-up,energy,Multiple Choice,11) Energy – Multiple Choice In what area of the United States are most geothermal power plants? W) New England X) Great Lakes Region Y) Midwest Z) Rocky Mountain Region,Z) ROCKY MOUNTAIN REGION
bonus,energy,Multiple Choice,11) Energy – Multiple Choice Which of the following fuel types was used in the past to prevent engine knocking? W) Leaded X) Hydrogenated Y) B20 Z) E85,"W) LEADED
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Short Answer,13) Physical Science – Short Answer Stored energy and energy related to position are both called what type of energy?,POTENTIAL
toss-up,energy,Multiple Choice,14) Energy – Multiple Choice The primary use of natural gas by the residential sector is which of the following? W) Electricity production X) Heating Y) Lighting Z) Chemical feedstock,X) HEATING
bonus,energy,Short Answer,"14) Energy – Short Answer When measuring solar energy available at a given location, the energy is often measured per day. What are the most commonly used units of this measure?",KILOWATT HOUR PER METER SQUARED PER DAY
toss-up,math,Short Answer,"17) Math – Short Answer If two similar triangles have a scale factor of 2 to 3, and a side of the larger has length 7.5, what is the length of the corresponding side of the smaller triangle?",5
bonus,math,Short Answer,"17) Math – Short Answer If an 8-by-12 rectangle has its linear dimensions increased by 25%, what is the area of the new larger rectangle?","150
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,"19) Math – Short Answer What is the average of the following 3 numbers? 70, 85, 100",85
bonus,math,Short Answer,"19) Math – Short Answer The total volume of 5 identical tanks that are circular cylinders is 1250π. If the depth of one tank is 10, what is its radius?","5
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
bonus,physics,Short Answer,21) Physical Science – Short Answer What law of physics relates voltage to current and resistance?,"OHM’S LAW
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,23) Math – Short Answer Evaluate 1 and 2/3 divided by 1/6.,10
bonus,math,Short Answer,"23) Math – Short Answer At Vinnie’s Deli, for a meal combo a customer chooses one of 8 different sandwiches, one of 6 types of chips, and one of 6 kinds of bottled soda. If Deb and her friend each get the meal combo, what is the probability that they choose exactly the same combo?",1/288
toss-up,math,Short Answer,"1) Math – Short Answer What is the slope-intercept equation of the line through the origin that contains the point (3, 6) ?",y = 2x (ACCEPT: y = 2x + 0)
bonus,math,Short Answer,"1) Math – Short Answer The mean of the numbers of weekly work hours for 11 part-time employees at Happy Dan’s is 24. The mean number of hours for 4 of the employees is 19. To the nearest whole number, what is the mean number of hours for the rest of Dan’s employees?","27
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Multiple Choice,3) Energy – Multiple Choice What type of battery is commonly found in rechargeable consumer electronics? W) Alkaline X) Lead acid Y) Lithium-ion Z) Aluminum-air,Y) LITHIUM-ION
bonus,energy,Short Answer,"3) Energy – Short Answer In order for bioethanol to be miscible with gasoline, what contaminant must first be removed?","WATER
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Multiple Choice,11) Math – Multiple Choice Mike works in sales at a video gaming store. This week the total amount that he sold is represented by V dollars. His manager tells him to increase his sales next week by 15%. Which of the following is a correct representation for the desired sales next week? W) V + 0.15 X) V + 15 Y) 0.15V Z) 1.15V,Z) 1.15 V
bonus,math,Short Answer,11) Math – Short Answer What is 8/15 minus 22/35?,"–2/21
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,energy,Short Answer,12) Energy – Short Answer The use of coal to generate electricity in the U.S. has declined recently due to an abundance of what other fuel?,NATURAL GAS
bonus,energy,Short Answer,12) Energy – Short Answer What is the derivative of coal that is commonly used as the reducing agent when smelting metals?,COKE
toss-up,energy,Multiple Choice,"13) Energy – Multiple Choice In a fission nuclear reactor, which of the following processes occurs, resulting in released energy? W) Neutrons split uranium atoms X) Uranium atoms spontaneously decay Y) Uranium atoms fuse Z) Alpha particles bombard uranium atoms",W) NEUTRONS SPLIT URANIUM ATOMS
bonus,energy,Multiple Choice,13) Energy – Multiple Choice Which of the following correctly explains why cellulosic ethanol is more expensive to produce than starch ethanol? W) Cellulose is an expensive feedstock X) Conversion of glucose into ethanol is expensive Y) Cellulose contains many impurities that are expensive to remove Z) More chemical reactions must be performed,"Z) MORE CHEMICAL REACTIONS MUST BE PERFORMED
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,18) Math – Short Answer What is the degree measure of an angle that is the supplement of a one- degree angle?,179
bonus,math,Short Answer,18) Math – Short Answer Solve the following equation for x: the square root of open parenthesis x + 20 close parenthesis = x,5 (DO NOT ACCEPT: -4)
toss-up,math,Short Answer,21) Math – Short Answer What is 112 – 92?,40
bonus,math,Short Answer,"21) Math – Short Answer If the ratio of the heights of 2 similar circular cylinders is 3 to 2 and the surface area of the smaller cylinder is 268, what is the surface area of the larger cylinder?","603
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
bonus,energy,Short Answer,"23) Physical Science – Short Answer When referring to the ground state and excited states of a molecule, what specific subatomic particles are changing in energy?",ELECTRONS
toss-up,energy,Multiple Choice,1) Energy – Multiple Choice Which of the following energies is harnessed by floating generators? W) Wind energy X) Tidal energy Y) Wave energy Z) Bio-energy,Y) WAVE ENERGY
bonus,energy,Multiple Choice,"1) Energy – Multiple Choice Researchers are currently working on generating fuel from algae, known as algal biofuel. Which of the following is NOT expected to be replaced with an equivalent algal biofuel? W) Gasoline X) Diesel fuel Y) Jet fuel Z) Home heating oil","Z) HOME HEATING OIL
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,"5) Math – Short Answer The endpoints of a diameter of a circle have coordinates (3, 4) and (-3, -2). What are the coordinates of the center of the circle?","(0, 1)"
bonus,math,Short Answer,"5) Math – Short Answer Rounding your answer to the nearest 10,000, what is 347 times 682?","240,000
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
toss-up,math,Short Answer,8) Math – Short Answer What is the sum of the following three fractions: 1/7 + 1/9 + 1/63?,17/63
bonus,math,Short Answer,"8) Math – Short Answer The point with coordinates (4, 3) is rotated 90 degrees clockwise about the origin. What are the coordinates of the image point?","(3, -4)"
toss-up,energy,Multiple Choice,"12) Energy – Multiple Choice As of 2014, which of the following countries generates the largest percentage of its electricity using nuclear power? W) Sweden X) United Kingdom Y) United States Z) Japan",W) SWEDEN
bonus,energy,Short Answer,12) Energy – Short Answer Adding what diatomic gas to compressed natural gas reduces nitrogen oxide emissions by up to half?,HYDROGEN
toss-up,math,Short Answer,13) Math – Short Answer How many exterior angles does a convex hexagon have?,12
bonus,math,Short Answer,13) Math – Short Answer A polyhedron has 8 faces. Identify all of the following four types of polyhedra it could be: 1) Regular polyhedron; 2) Hexagonal prism; 3) Hexagonal pyramid; 4) Septagonal pyramid.,"1, 2, 4
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
