type,subject,format,question,answer
toss-up,chemistry,Short Answer,"The following gaseous phase reaction is in equilibrium: CO + 2H ⇔ (read as: is in equilibrium with) CH OH. If you decrease the volume of the 2 3 container holding the gas, what happens to the equilibrium?","SHIFTS TO THE RIGHT (ACCEPT: MORE METHANOL IS PRODUCED, MORE
PRODUCT IS PRODUCED)"
bonus,chemistry,Short Answer,"By name or number, identify all of the following four motions that describe how atoms in a methylene group can vibrate: 1) rocking, 2) symmetrical stretching, 3) see-sawing, 4) twisting.","ROCKING, SYMMETRICAL STRETCHING, AND TWISTING (ACCEPT: 1, 2, AND
4)
_______________________________________________________"
toss-up,math,Short Answer,At what value of x is the tangent to the curve f(x) = 3x2 – 2x + 1 a horizontal line?,1/3
bonus,math,Short Answer,"If f(x) = x (read as: f of x equals the square root of x) over the domain of all nonnegative real numbers and if g(x) = cosx over the domain of closed interval [-π, π], then what is the domain of f composed with g?","[-π/2, π/2]
Round 11 Page 1"
toss-up,physics,Multiple Choice,Which of the following is TRUE about the electric field just outside the surface of a charged spherical conductor? W) It is zero X) It is infinitely large Y) It is directed perpendicularly to the surface Z) It is directed parallel to the surface,Y) IT IS DIRECTED PERPENDICULARLY TO THE SURFACE
bonus,physics,Short Answer,"A projectile is launched over level ground with a velocity of 100 meters per second at an angle of 30 degrees to the horizontal. Given that the acceleration due to gravity is 10 meters per second squared, what will be the horizontal range of this projectile rounded to the nearest meter?","866
_______________________________________________________"
toss-up,biology,Multiple Choice,Which of the following processes would leukocytes employ to destroy bacteria in interstitial spaces? W) Pinocytosis (read as: pin-oh-si-TŌE-sis) X) Phagocytosis (read as: fahg-oh-si-TŌE-sis) Y) Erythrophagocytosis (read as: i-rith-roh-fahg-oh-si-TŌE-sis) Z) Efferocytosis (read as: ehf-eh-roh- si-TŌE-sis),X) PHAGOCYTOSIS
bonus,biology,Short Answer,Which pluripotent cell in eukaryotic animals is similar to meristematic cells in higher plants?,"EMBRYONIC STEM CELLS (ACCEPT: EMBRYONIC GERM CELLS)
(DO NOT ACCEPT: STEM CELLS)
Round 11 Page 2"
toss-up,chemistry,Multiple Choice,Which of the following pairs does NOT correctly match the element and its oxidation number? W) Oxygen in H O and -2 2 2 X) Bromine in Br and 0 2 Y) Sodium in NaCl and +1 Z) Sulfur in SO 2 and +4 3−,"W) OXYGEN IN H O AND -2
2 2"
bonus,chemistry,Short Answer,"Identify by name or number all of the following five factors upon which the rate of a gaseous phase reaction substantially depends: 1) reactant concentration, 2) molecule size, 3) number of distinct products and reactants, 4) activation energy, 5) pressure.","REACTANT CONCENTRATION, ACTIVATION ENERGY, PRESSURE (ACCEPT:
1, 4, AND 5)
_______________________________________________________"
